episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
118,9,q_learning,observable,-381.5,120,0,11,13,1,0,0.6231633940055196
119,9,q_learning,observable,-286.0,120,0,7,10,1,0,0.6206707404294975
120,9,q_learning,observable,-173.0,61,1,8,4,1,1,0.6181880574677795
121,9,q_learning,observable,-383.0,120,0,11,14,1,0,0.6157153052379084
122,9,q_learning,observable,-95.0,69,1,3,7,1,1,0.6132524440169568
123,9,q_learning,observable,-206.0,120,0,3,10,1,0,0.6107994342408889
124,9,q_learning,observable,-170.0,114,1,5,7,1,1,0.6083562365039253
125,9,q_learning,observable,-401.5,120,0,13,10,1,0,0.6059228115579096
126,9,q_learning,observable,-103.0,89,1,2,9,1,1,0.6034991203116781
127,9,q_learning,observable,-324.0,120,0,9,8,0,0,0.6010851238304313
128,9,q_learning,observable,-195.5,116,1,5,11,1,1,0.5986807833351095
129,9,q_learning,observable,-340.5,120,0,10,9,1,0,0.5962860602017691
130,9,q_learning,observable,-228.5,120,0,1,22,1,0,0.5939009159609621
131,9,q_learning,observable,-379.5,120,0,12,9,1,0,0.5915253122971182
132,9,q_learning,observable,-203.0,112,1,7,6,1,1,0.5891592110479298
133,9,q_learning,observable,-337.5,120,0,8,17,1,0,0.586802574203738
134,9,q_learning,observable,-196.0,83,1,7,9,1,1,0.5844553639069231
135,9,q_learning,observable,-336.5,120,0,9,13,1,0,0.5821175424512953
136,9,q_learning,observable,-522.0,120,0,21,2,1,0,0.5797890722814902
137,9,q_learning,observable,-246.5,120,0,6,7,1,0,0.5774699159923642
138,9,q_learning,observable,-298.5,120,0,5,21,1,0,0.5751600363283947
139,9,q_learning,observable,-330.0,120,0,8,15,1,0,0.5728593961830811
140,9,q_learning,observable,-244.5,120,0,4,14,1,0,0.5705679585983489
141,9,q_learning,observable,-109.0,87,1,2,11,1,1,0.5682856867639554
142,9,q_learning,observable,-348.0,120,0,10,11,1,0,0.5660125440168996
143,9,q_learning,observable,-231.0,120,0,3,15,1,0,0.563748493840832
144,9,q_learning,observable,-380.0,120,0,12,9,1,0,0.5614934998654687
145,9,q_learning,observable,-250.0,83,1,11,4,1,1,0.5592475258660068
146,9,q_learning,observable,-106.0,91,1,2,9,1,1,0.5570105357625428
147,9,q_learning,observable,-131.5,85,1,4,7,1,1,0.5547824936194926
148,9,q_learning,observable,-259.0,120,0,4,17,1,0,0.5525633636450147
149,9,q_learning,observable,-296.0,120,0,6,16,1,0,0.5503531101904345
150,9,q_learning,observable,-188.5,49,1,9,5,1,1,0.5481516977496729
151,9,q_learning,observable,-370.0,120,0,11,11,1,0,0.5459590909586741
152,9,q_learning,observable,-232.0,120,0,5,7,0,0,0.5437752545948394
153,9,q_learning,observable,9.0,41,1,0,3,1,1,0.5416001535764601
154,9,q_learning,observable,-153.5,100,1,4,9,1,1,0.5394337529621542
155,9,q_learning,observable,-125.0,64,1,4,10,1,1,0.5372760179503057
156,9,q_learning,observable,-156.0,67,1,4,15,1,1,0.5351269138785044
157,9,q_learning,observable,-255.5,120,0,4,15,0,0,0.5329864062229904
158,9,q_learning,observable,-231.0,109,1,7,12,1,1,0.5308544605980984
159,9,q_learning,observable,2.0,42,1,0,4,1,1,0.528731042755706
160,9,q_learning,observable,-161.5,120,0,0,14,1,0,0.5266161185846832
161,9,q_learning,observable,-181.0,117,1,5,8,1,1,0.5245096541103444
162,9,q_learning,observable,-220.5,120,0,5,4,0,0,0.5224116154939031
163,9,q_learning,observable,-32.0,54,1,0,9,1,1,0.5203219690319275
164,9,q_learning,observable,-82.5,72,1,3,4,1,1,0.5182406811557998
165,9,q_learning,observable,-156.5,92,1,4,10,1,1,0.5161677184311766
166,9,q_learning,observable,-138.0,114,1,1,16,1,1,0.5141030475574518
167,9,q_learning,observable,-203.5,118,1,6,9,1,1,0.5120466353672221
168,9,q_learning,observable,-353.5,120,0,11,6,0,0,0.5099984488257532
169,9,q_learning,observable,-116.5,85,1,5,1,1,1,0.5079584550304501
170,9,q_learning,observable,-49.0,61,1,2,3,1,1,0.5059266212103284
171,9,q_learning,observable,-8.5,37,1,1,3,1,1,0.503902914725487
172,9,q_learning,observable,-162.5,120,0,1,10,1,0,0.5018873030665851
173,9,q_learning,observable,-171.5,110,1,3,15,1,1,0.4998797538543187
174,9,q_learning,observable,-108.0,87,1,3,6,1,1,0.4978802348389015
175,9,q_learning,observable,-19.5,52,1,1,3,1,1,0.49588871389954586
176,9,q_learning,observable,-131.5,96,1,5,2,1,1,0.49390515904394766
177,9,q_learning,observable,-102.5,107,1,2,6,1,1,0.49192953840777187
178,9,q_learning,observable,-206.5,120,0,3,9,0,0,0.4899618202541408
179,9,q_learning,observable,-195.5,120,0,3,9,1,0,0.4880019729731242
180,9,q_learning,observable,-285.0,120,0,6,14,1,0,0.4860499650812317
181,9,q_learning,observable,-33.5,45,1,2,2,1,1,0.4841057652209068
182,9,q_learning,observable,-203.5,120,0,2,14,1,0,0.48216934216002316
183,9,q_learning,observable,-71.0,46,1,3,6,1,1,0.48024066479138305
184,9,q_learning,observable,-439.5,120,0,15,9,1,0,0.47831970213221753
185,9,q_learning,observable,-238.5,120,0,3,17,1,0,0.47640642332368865
186,9,q_learning,observable,-36.0,51,1,2,2,1,1,0.47450079763039393
187,9,q_learning,observable,-215.5,103,1,8,5,1,1,0.47260279443987235
188,9,q_learning,observable,-243.5,120,0,6,6,1,0,0.47071238326211284
189,9,q_learning,observable,-304.0,120,0,8,10,1,0,0.4688295337290644
190,9,q_learning,observable,-32.0,52,1,1,5,1,1,0.4669542155941481
191,9,q_learning,observable,-192.0,91,1,7,6,1,1,0.46508639873177154
192,9,q_learning,observable,-322.0,120,0,10,6,1,0,0.46322605313684445
193,9,q_learning,observable,-113.0,57,1,5,4,1,1,0.46137314892429704
194,9,q_learning,observable,14.0,36,1,0,3,1,1,0.4595276563285999
195,9,q_learning,observable,-187.5,120,0,4,3,1,0,0.45768954570328546
196,9,q_learning,observable,-45.5,38,1,3,2,1,1,0.4558587875204723
197,9,q_learning,observable,-133.0,113,1,3,8,1,1,0.45403535237039044
