num_episodes,avg_return,std_return,success_rate,avg_steps,std_steps,violation_rate,avg_violations,collision_rate,avg_collisions,pickup_rate,dropoff_rate,algo,wind_mode,seed,model_path
100,36.59,4.923606401815644,1.0,19.11,1.754394482435464,0.0,0.0,0.58,0.86,1.0,1.0,q_learning,hidden,9,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_9.npy
100,35.18,5.593531978991449,1.0,19.02,1.964586470481765,0.0,0.0,0.66,1.16,1.0,1.0,double_q_learning,hidden,0,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_0.npz
100,36.43,5.66790084599228,1.0,19.22,1.8739263592788273,0.0,0.0,0.5,0.87,1.0,1.0,double_q_learning,hidden,1,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_1.npz
100,36.67,5.609019522162496,1.0,19.08,1.8583863968507732,0.0,0.0,0.49,0.85,1.0,1.0,double_q_learning,hidden,2,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_2.npz
100,36.94,4.979598377379445,1.0,19.06,2.2530867715203513,0.0,0.0,0.53,0.8,1.0,1.0,double_q_learning,hidden,3,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_3.npz
100,35.53,5.823152067394427,1.0,19.42,2.000899797591074,0.0,0.0,0.61,1.01,1.0,1.0,double_q_learning,hidden,4,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_4.npz
100,34.87,6.383815473523651,1.0,19.33,1.902918810669546,0.0,0.0,0.62,1.16,1.0,1.0,double_q_learning,hidden,5,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_5.npz
100,36.45,4.24352447854375,1.0,19.2,1.794435844492636,0.0,0.0,0.59,0.87,1.0,1.0,double_q_learning,hidden,6,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_6.npz
100,35.53,5.75231257843313,1.0,19.02,1.720348801842231,0.01,0.01,0.67,1.05,1.0,1.0,double_q_learning,hidden,7,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_7.npz
100,35.23,7.173360439849653,1.0,19.12,1.9711925324533879,0.03,0.04,0.6,0.97,1.0,1.0,double_q_learning,hidden,8,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_8.npz
100,36.59,4.923606401815644,1.0,19.11,1.754394482435464,0.0,0.0,0.58,0.86,1.0,1.0,double_q_learning,hidden,9,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_hidden_seed_9.npz
